School Name,City,State,Postcode,Type,Sector,Status,ACARA ID,DEEWR ID
Lilydale Heights College,LILYDALE,VIC,3140,Secondary,Government,Open,45335,8506
Lilydale High School,LILYDALE,VIC,3140,Secondary,Government,Open,45415,8504
Lilydale Primary School,LILYDALE,VIC,3140,Primary,Government,Open,44158,8505
Lilydale West Primary School,LILYDALE,VIC,3140,Primary,Government,Open,44996,5416
Lincoln Gardens Primary School,PORT LINCOLN,SA,5606,Primary,Government,Open,49612,16478
Lincoln School,DUBBO,NSW,2830,Primary/Secondary,Government,Open,40725,18125
Linden Park Primary School,LINDEN PARK,SA,5065,Primary,Government,Open,49386,7008
Lindenow Primary School,LINDENOW,VIC,3865,Primary,Government,Open,44206,12073
Lindenow South Primary School,LINDENOW SOUTH,VIC,3875,Primary,Government,Open,44538,12074
Lindfield East Public School,EAST LINDFIELD,NSW,2070,Primary,Government,Open,41223,7627
Lindfield Montessori Preschool,LINDFIELD WEST,NSW,2070,Primary,Non-Government,Open,40832,28555
Lindfield Public School,LINDFIELD,NSW,2070,Primary,Government,Open,41222,7626
Lindisfarne Anglican School,TERRANORA,NSW,2486,Primary/Secondary,Non-Government,Open,43999,2382
Lindisfarne North Primary School,LINDISFARNE,TAS,7015,Primary,Government,Open,40125,8170
Lindisfarne North Primary School,LINDISFARNE,TAS,7015,Primary,Government,Open,40125,8170
Lindisfarne North Primary School,LINDISFARNE,TAS,7015,Primary,Government,Open,40125,8170
Lindisfarne North Primary School,LINDISFARNE,TAS,7015,Primary,Government,Open,40125,8170
Lindisfarne Primary School,LINDISFARNE,TAS,7015,Primary,Government,Open,40126,8171
Lindisfarne Primary School,LINDISFARNE,TAS,7015,Primary,Government,Open,40126,8171
Lindisfarne Primary School,LINDISFARNE,TAS,7015,Primary,Government,Open,40126,8171
Lindisfarne Primary School,LINDISFARNE,TAS,7015,Primary,Government,Open,40126,8171
Lindsay Park Public School,WOLLONGONG,NSW,2500,Primary,Government,Open,42857,9941
Linton Primary School,LINTON,VIC,3360,Primary,Government,Open,44161,10568
Linuwel School Ltd,EAST MAITLAND,NSW,2323,Primary/Secondary,Non-Government,Open,43781,2339
Linville State School,LINVILLE,QLD,4306,Primary,Government,Open,46975,11752
Lisarow High School,LISAROW,NSW,2250,Secondary,Government,Open,42127,14977
Lisarow Public School,LISAROW,NSW,2250,Primary,Government,Open,41923,8682
Lismore Heights Public School,LISMORE HEIGHTS,NSW,2480,Primary,Government,Open,42335,4407
Lismore High School,LISMORE,NSW,2480,Secondary,Government,Open,42375,9814
Lismore Primary School,LISMORE,VIC,3324,Primary,Government,Open,44249,10025
Lismore Public School,LISMORE,NSW,2480,Primary,Government,Open,42200,9816
Lismore South Public School,SOUTH LISMORE,NSW,2480,Primary,Government,Open,42250,9819
Lithgow High School,LITHGOW,NSW,2790,Secondary,Government,Open,43099,10962
Lithgow Public School,LITHGOW,NSW,2790,Primary,Government,Open,43003,10963
Little Bendigo Primary School,NERRINA,VIC,3350,Primary,Government,Open,44417,10130
Little Grove Primary School,LITTLE GROVE,WA,6330,Primary,Government,Open,48741,15846
Little River Primary School,LITTLE RIVER,VIC,3211,Primary,Government,Open,44389,9461
Little Yarra Steiner School,YARRA JUNCTION,VIC,3797,Primary/Secondary,Non-Government,Open,46313,5560
Littlehampton Primary School,LITTLEHAMPTON,SA,5250,Primary,Government,Open,49214,7256
Liverpool Boys High School,LIVERPOOL,NSW,2170,Secondary,Government,Open,41560,8535
Liverpool Girls High School,LIVERPOOL,NSW,2170,Secondary,Government,Open,41557,8536
Liverpool Hospital School,LIVERPOOL,NSW,2170,Primary/Secondary,Government,Open,40810,27669
Liverpool Public School,LIVERPOOL,NSW,2170,Primary,Government,Open,41553,8537
Liverpool West Public School,LIVERPOOL,NSW,2170,Primary,Government,Open,41459,8538
Living Faith Lutheran Primary School,MURRUMBA DOWNS,QLD,4503,Primary,Non-Government,Open,47965,17364
Living Waters Lutheran College,WARNBRO,WA,6169,Primary/Secondary,Non-Government,Open,49113,15360
Living Waters Lutheran School,ALICE SPRINGS,NT,870,Primary,Non-Government,Open,50151,6877
Livingstone Christian College,ORMEAU,QLD,4208,Primary/Secondary,Non-Government,Open,47968,17662
Livingstone Primary School,VERMONT SOUTH,VIC,3133,Primary,Government,Open,45024,8345
Liwara Catholic Primary School,GREENWOOD,WA,6024,Primary,Non-Government,Open,48962,2155
Llandilo Public School,LLANDILO,NSW,2760,Primary,Government,Open,41642,10771
Lloyd Street Primary School,MALVERN EAST,VIC,3145,Primary,Government,Open,44710,15634
Lobethal Lutheran School,LOBETHAL,SA,5241,Primary,Non-Government,Open,49869,329
Lobethal Primary School,LOBETHAL,SA,5241,Primary,Government,Open,49215,7250
Loch Primary School,LOCH,VIC,3945,Primary,Government,Open,44526,12158
Loch Sport Primary School,LOCH SPORT,VIC,3851,Primary,Government,Open,45110,12039
Lochington State School,SPRINGSURE,QLD,4722,Primary,Government,Open,47024,17446
Lochinvar Public School,LOCHINVAR,NSW,2321,Primary,Government,Open,41924,9180
Lock Area School,LOCK,SA,5633,Primary/Secondary,Government,Open,49216,7490
Lockhart Central School,LOCKHART,NSW,2656,Primary/Secondary,Government,Open,42595,10509
Lockhart State School,LOCKHART,QLD,4871,Primary/Secondary,Government,Open,46749,13131
Lockington Consolidated School,LOCKINGTON,VIC,3563,Primary,Government,Open,45305,11383
Lockleys North Primary School,LOCKLEYS,SA,5032,Primary,Government,Open,49510,6940
Lockleys Primary School,BROOKLYN PARK,SA,5032,Primary,Government,Open,49217,6941
Lockridge Primary School,LOCKRIDGE,WA,6054,Primary,Government,Open,48580,9096
Lockridge Senior High School,KIARA,WA,6054,Secondary,Government,Open,48207,6695
Lockrose State School,LOCKROSE,QLD,4342,Primary,Government,Open,47007,11796
Lockwood Primary School,LOCKWOOD,VIC,3551,Primary,Government,Open,44133,11319
Lockwood South Primary School,LOCKWOOD SOUTH,VIC,3551,Primary,Government,Open,44081,11321
Lockyer District State High School,GATTON,QLD,4343,Secondary,Government,Open,47455,6538
Loftus Public School,LOFTUS,NSW,2232,Primary,Government,Open,41094,8661
Logan City Special School,LOGAN CENTRAL,QLD,4114,Primary/Secondary,Government,Open,47580,16083
Logan Reserve State School,LOGAN RESERVE,QLD,4133,Primary,Government,Open,46452,11273
Logan Village State School,LOGAN VILLAGE,QLD,4207,Primary,Government,Open,46490,11544
Loganholme State School,LOGANHOLME,QLD,4129,Primary,Government,Open,46453,11322
Loganlea State High School,LOGANLEA,QLD,4131,Secondary,Government,Open,47532,6585
Lomandra School,CAMPBELLTOWN,NSW,2560,Primary/Secondary,Government,Open,41549,16642
Londonderry Public School,LONDONDERRY,NSW,2753,Primary,Government,Open,41643,10728
Long Flat Public School,LONG FLAT,NSW,2446,Primary,Government,Open,42251,9646
Long Street Primary School,WHYALLA NORRIE,SA,5608,Primary,Government,Open,49604,7480
Longford Primary School,LONGFORD,TAS,7301,Primary,Government,Open,40175,8292
Longford Primary School,LONGFORD,TAS,7301,Primary,Government,Open,40175,8292
Longford Primary School,LONGFORD,TAS,7301,Primary,Government,Open,40175,8292
Longford Primary School,LONGFORD,TAS,7301,Primary,Government,Open,40175,8292
Longford Primary School,LONGFORD,VIC,3851,Primary,Government,Open,44341,12040
Longneck Lagoon Environmental Education Centre,MARAYLYA,NSW,2765,Primary/Secondary,Government,Open,40753,24085
Longreach School of Distance Education,LONGREACH,QLD,4730,Primary/Secondary,Government,Open,47627,14454
Longreach State High School,LONGREACH,QLD,4730,Secondary,Government,Open,47497,6555
Longreach State School,LONGREACH,QLD,4730,Primary,Government,Open,46861,12919
Longwarry Primary School,LONGWARRY,VIC,3816,Primary,Government,Open,44473,11862
Longwood Primary School,LONGWOOD,VIC,3665,Primary,Government,Open,44498,11525
Lonsdale Heights Primary School,CHRISTIE DOWNS,SA,5164,Primary,Government,Open,49596,7216
Looma Remote Community School,LOOMA,WA,6728,Primary/Secondary,Government,Open,48672,6850
Loquat Valley Anglican Preparatory School,BAYVIEW,NSW,2104,Primary,Non-Government,Open,43816,1413
Lord Howe Island Central School,LORD HOWE ISLAND,NSW,2898,Primary/Secondary,Government,Open,42214,11116
Loreto College,BALLARAT,VIC,3350,Secondary,Non-Government,Open,45638,833
Loreto College,MARRYATVILLE,SA,5068,Primary/Secondary,Non-Government,Open,49699,15690
Loreto College Coorparoo,COORPAROO,QLD,4151,Secondary,Non-Government,Open,47870,17238
Loreto Kirribilli,KIRRIBILLI,NSW,2061,Primary/Secondary,Non-Government,Open,43657,1414
Loreto Normanhurst,NORMANHURST,NSW,2076,Secondary,Non-Government,Open,43690,1415
Loreto Primary School,NEDLANDS,WA,6009,Primary,Non-Government,Open,48929,17651
"Loreto, Mandeville Hall",TOORAK,VIC,3142,Primary/Secondary,Non-Government,Open,45810,836
Lorien Novalis School for Rudolf Steiner Education,GLENHAVEN,NSW,2156,Primary/Secondary,Non-Government,Open,43763,1416
Lorne - Aireys Inlet P-12 College,LORNE,VIC,3232,Primary/Secondary,Government,Open,44429,9604
Lota State School,LOTA,QLD,4179,Primary,Government,Open,46930,11530
Lourdes Hill College,HAWTHORNE,QLD,4171,Secondary,Non-Government,Open,47871,17239
Louth Public School,LOUTH,NSW,2840,Primary,Government,Open,43064,16219
Loveday Primary School,LOVEDAY,SA,5345,Primary,Government,Open,49218,7349
Lowanna College,NEWBOROUGH,VIC,3825,Secondary,Government,Open,45559,14787
Lowanna Public School,LOWANNA,NSW,2450,Primary,Government,Open,42252,9661
Lower Plenty Primary School,LOWER PLENTY,VIC,3093,Primary,Government,Open,44250,8228
Lower Tully State School,LOWER TULLY,QLD,4854,Primary,Government,Open,46990,13086
Lowesdale Public School,LOWESDALE,NSW,2646,Primary,Government,Open,42596,10468
Lowmead State School,LOWMEAD,QLD,4676,Primary,Government,Open,47034,12809
Lowood State High School,LOWOOD,QLD,4311,Secondary,Government,Open,47539,6580
Lowood State School,LOWOOD,QLD,4311,Primary,Government,Open,46585,11771
Lowther Hall Anglican Grammar School,ESSENDON,VIC,3040,Primary/Secondary,Non-Government,Open,46179,837
Loxton High School,LOXTON,SA,5333,Secondary,Government,Open,49499,7335
Loxton Lutheran School,LOXTON,SA,5333,Primary,Non-Government,Open,49870,268
Loxton North Primary School,LOXTON NORTH,SA,5333,Primary,Government,Open,49402,7336
Loxton Primary School,LOXTON,SA,5333,Primary,Government,Open,49445,7337
Loyola College,WATSONIA,VIC,3087,Secondary,Non-Government,Open,46053,2485
Loyola Senior High School,MOUNT DRUITT,NSW,2770,Secondary,Non-Government,Open,40728,18252
Ltyentye Apurte Catholic School,ALICE SPRINGS,NT,870,Primary/Secondary,Non-Government,Open,50142,13311
Lucas Gardens School,CANADA BAY,NSW,2046,Primary/Secondary,Government,Open,41545,16218
Lucas Heights Community School,BARDEN RIDGE,NSW,2234,Primary/Secondary,Government,Open,41166,14684
Lucindale Area School,LUCINDALE,SA,5272,Primary/Secondary,Government,Open,49434,7289
Lucknow Primary School,BAIRNSDALE,VIC,3875,Primary,Government,Open,44234,12090
Luddenham Public School,LUDDENHAM,NSW,2745,Primary,Government,Open,41644,5331
Ludmilla Primary School,BAYVIEW,NT,820,Primary,Government,Open,50032,7945
Lue Public School,LUE,NSW,2850,Primary,Government,Open,43004,11077
Lugarno Public School,LUGARNO,NSW,2210,Primary,Government,Open,41066,8605
Lumen Christi Catholic College,PAMBULA BEACH,NSW,2549,Primary/Secondary,Non-Government,Open,43153,17280
Lumen Christi Catholic Primary School Point Cook,POINT COOK,VIC,3030,Primary,Non-Government,Open,46106,16329
Lumen Christi College,MARTIN,WA,6110,Primary/Secondary,Non-Government,Open,48981,8780
Lumen Christi Primary School,DELACOMBE,VIC,3356,Primary,Non-Government,Open,46090,5562
Lumen Christi School,CHURCHILL,VIC,3842,Primary,Non-Government,Open,46025,2441
Lundavra State School,GOONDIWINDI,QLD,4390,Primary,Government,Open,40589,12011
Lurnea High School,LURNEA,NSW,2170,Secondary,Government,Open,41587,6509
Lurnea Public School,LURNEA,NSW,2170,Primary,Government,Open,41467,8539
Luther College,CROYDON,VIC,3136,Secondary,Non-Government,Open,46223,15323
Lutheran Primary School Wagga Wagga,WAGGA WAGGA,NSW,2650,Primary,Non-Government,Open,43948,3308
Luurnpa Catholic School,HALLS CREEK,WA,6770,Primary/Secondary,Non-Government,Open,48980,4239
Lynall Hall Community School,RICHMOND,VIC,3121,Secondary,Government,Open,45417,6317
Lynbrook Primary School,LYNBROOK,VIC,3975,Primary,Government,Open,45258,18028
Lyndale Greens Primary School,DANDENONG NORTH,VIC,3175,Primary,Government,Open,45280,28835
Lyndale Secondary College,DANDENONG NORTH,VIC,3175,Secondary,Government,Open,45416,9249
Lyndhurst Primary School,LYNDHURST,VIC,3975,Primary,Government,Open,50285,28554
Lyndhurst Public School,LYNDHURST,NSW,2797,Primary,Government,Open,43005,10993
Lyndhurst Secondary College,CRANBOURNE,VIC,3977,Secondary,Government,Open,45328,15450
Lyndoch Primary School,LYNDOCH,SA,5351,Primary,Government,Open,49219,7353
Lyneham High School,LYNEHAM,ACT,2602,Secondary,Government,Open,49920,6657
Lyneham Primary School,LYNEHAM,ACT,2602,Primary,Government,Open,49921,10331
Lynwood Park Public School,BLACKTOWN,NSW,2148,Primary,Government,Open,41714,7833
Lynwood Senior High School,PARKWOOD,WA,6147,Secondary,Government,Open,48208,6728
Lyons Early Childhood School,LYONS,ACT,2606,Primary,Government,Open,40326,10353
Lysterfield Primary School,LYSTERFIELD,VIC,3156,Primary,Government,Open,44366,9034
M.E.T. School,OATLANDS,NSW,2117,Primary/Secondary,Non-Government,Open,43724,14655
Ma Ma Creek State School,MA MA CREEK,QLD,4347,Primary,Government,Open,46672,11901
Mabel Park State High School,SLACKS CREEK,QLD,4127,Secondary,Government,Open,47540,11305
Mabel Park State School,SLACKS CREEK,QLD,4127,Primary,Government,Open,46654,11307
Macarthur Adventist College,MACQUARIE FIELDS,NSW,2564,Primary/Secondary,Non-Government,Open,43936,1421
Macarthur Anglican School,COBBITTY,NSW,2570,Primary/Secondary,Non-Government,Open,43949,4272
Macarthur Girls High School,PARRAMATTA,NSW,2150,Secondary,Government,Open,41847,7842
Macarthur Primary School,MACARTHUR,VIC,3286,Primary,Government,Open,44313,9897
Macarthur Street Primary School,SOLDIERS HILL,VIC,3350,Primary,Government,Open,44396,10124
Macclesfield Primary School,MACCLESFIELD,VIC,3782,Primary,Government,Open,44629,11821
Macclesfield Primary School,MACCLESFIELD,SA,5153,Primary,Government,Open,49221,7175
Macdonald Valley Public School,CENTRAL MACDONALD,NSW,2775,Primary,Government,Open,41645,8696
Macedon Grammar School Co-Op Ltd,MACEDON,VIC,3440,Primary/Secondary,Non-Government,Open,46254,2488
Macedon Primary School,MACEDON,VIC,3440,Primary,Government,Open,44335,10767
MacFarlane Primary School,COSSACK,NT,850,Primary,Government,Open,50033,16563
Macgregor Primary School,MACGREGOR,ACT,2615,Primary,Government,Open,49899,10393
MacGregor State High School,MACGREGOR,QLD,4109,Secondary,Government,Open,47507,11258
MacGregor State School,MACGREGOR,QLD,4109,Primary,Government,Open,46548,11257
Machans Beach State School,MACHANS BEACH,QLD,4878,Primary,Government,Open,46879,13132
Macintyre High School,INVERELL,NSW,2360,Secondary,Government,Open,42526,6437
Mackay Central State School,MACKAY,QLD,4740,Primary,Government,Open,46454,12938
Mackay Christian College,NORTH MACKAY,QLD,4740,Primary/Secondary,Non-Government,Open,48109,5341
Mackay District Special School,BEACONSFIELD MACKAY,QLD,4740,Primary/Secondary,Government,Open,47616,17876
Mackay North State High School,MACKAY NORTH,QLD,4740,Secondary,Government,Open,47481,6527
Mackay North State School,NORTH MACKAY,QLD,4740,Primary,Government,Open,46875,15043
Mackay Northern Beaches State High School,RURAL VIEW,QLD,4740,Secondary,Government,Open,50535,30064
Mackay State High School,MACKAY,QLD,4740,Secondary,Government,Open,47414,6528
Mackay West State School,MACKAY WEST,QLD,4740,Primary,Government,Open,46748,12940
Mackellar Primary School,DELAHEY,VIC,3037,Primary,Government,Open,45150,15097
Mackenzie River State School,MACKENZIE RIVER,QLD,4702,Primary,Government,Open,46474,12875
Mackenzie State Primary and Special School (Primary),MACKENZIE,QLD,4156,Primary,Government,Open,46812,11291
Mackenzie State Primary and Special School (Special),MACKENZIE,QLD,4156,Primary/Secondary,Government,Open,47589,17666
MacKillop Catholic College,MORNINGTON,TAS,7018,Secondary,Non-Government,Open,40232,13524
MacKillop Catholic College,MORNINGTON,TAS,7018,Secondary,Non-Government,Open,40232,13524
MacKillop Catholic College,MORNINGTON,TAS,7018,Secondary,Non-Government,Open,40232,13524
MacKillop Catholic College,MORNINGTON,TAS,7018,Secondary,Non-Government,Open,40232,13524
MacKillop Catholic College,WARNERVALE,NSW,2259,Primary/Secondary,Non-Government,Open,43266,17384
MacKillop Catholic College,BUSSELTON,WA,6280,Secondary,Non-Government,Open,49005,13781
MacKillop Catholic Primary School,ANDERGROVE,QLD,4740,Primary,Non-Government,Open,47646,14316
MacKillop Catholic Regional College,WERRIBEE,VIC,3030,Secondary,Non-Government,Open,46002,851
MacKillop College,BATHURST,NSW,2795,Secondary,Non-Government,Open,43578,1375
MacKillop Senior College,PORT MACQUARIE,NSW,2444,Secondary,Non-Government,Open,40821,28132
Macknade State School,MACKNADE,QLD,4850,Primary,Government,Open,46634,4634
Macksville Adventist School,MACKSVILLE,NSW,2447,Primary,Non-Government,Open,43773,1420
Macksville High School,MACKSVILLE,NSW,2447,Secondary,Government,Open,42379,9649
Macksville Public School,MACKSVILLE,NSW,2447,Primary,Government,Open,42253,9650
Maclean High School,MACLEAN,NSW,2463,Secondary,Government,Open,42389,9726
Maclean Public School,MACLEAN,NSW,2463,Primary,Government,Open,42332,9727
MacLeay Island State School,MACLEAY ISLAND,QLD,4184,Primary,Government,Open,47369,11358
Macleay Vocational College,SOUTH KEMPSEY,NSW,2440,Primary/Secondary,Non-Government,Open,43715,17633
Macleod College,MACLEOD,VIC,3085,Primary/Secondary,Government,Open,45311,8121
Macquarie Anglican Grammar School,DUBBO,NSW,2830,Primary/Secondary,Non-Government,Open,43820,17652
Macquarie College,WALLSEND,NSW,2287,Primary/Secondary,Non-Government,Open,43847,1470
Macquarie Fields High School,MACQUARIE FIELDS,NSW,2564,Secondary,Government,Open,41603,6510
Macquarie Fields Public School,MACQUARIE FIELDS,NSW,2564,Primary,Government,Open,41452,10213
Macquarie Grammar School,SYDNEY,NSW,2000,Secondary,Non-Government,Open,50227,29018
Macquarie Primary School,MACQUARIE,ACT,2614,Primary,Government,Open,49900,10382
Macquarie University Special Education Centre,RYDE NORTH,NSW,2109,Primary/Secondary,Non-Government,Open,43997,5274
MacRobertson Girls High School,MELBOURNE,VIC,3004,Secondary,Government,Open,45437,5264
Madang Avenue Public School,WHALAN,NSW,2770,Primary,Government,Open,41744,10812
Maddington Education Support Centre,MADDINGTON,WA,6109,Primary,Government,Open,48820,15232
Maddington Primary School,MADDINGTON,WA,6109,Primary,Government,Open,48432,5475
Madeley Primary School,MADELEY,WA,6065,Primary,Government,Open,48786,27422
Madison Park School,SALISBURY EAST,SA,5109,Primary,Government,Open,49387,7108
Maffra Primary School,MAFFRA,VIC,3860,Primary,Government,Open,44153,12063
Maffra Secondary College,MAFFRA,VIC,3860,Secondary,Government,Open,45418,12061
Magdalene Catholic High School,NARELLAN,NSW,2567,Secondary,Non-Government,Open,43330,15795
Magill School,MAGILL,SA,5072,Primary,Government,Open,50338,7022
Magnetic Island State School,NELLY BAY,QLD,4819,Primary,Government,Open,47066,13036
Magpie Primary School,MAGPIE,VIC,3352,Primary,Government,Open,44450,10153
Maharishi School of the Age of Enlightenment,RESERVOIR,VIC,3073,Primary,Non-Government,Open,46343,15979
Mahogany Rise Primary School,FRANKSTON NORTH,VIC,3200,Primary,Government,Open,44926,6204
Maida Vale Primary School,MAIDA VALE,WA,6057,Primary,Government,Open,48433,9131
Maidavale State School,AIRVILLE,QLD,4807,Primary,Government,Open,47065,13001
Maiden Gully Primary School,MAIDEN GULLY,VIC,3551,Primary,Government,Open,44321,11326
Maidens Park Primary School,BUNBURY,WA,6230,Primary,Government,Open,48626,12450
Maimuru Public School,MAIMURU,NSW,2594,Primary,Government,Open,42597,10296
Main Arm Upper Public School,UPPER MAIN ARM,NSW,2482,Primary,Government,Open,42301,16217
Mainsbridge School,LIVERPOOL,NSW,2170,Primary/Secondary,Government,Open,41539,16216
Maitland Area School,MAITLAND,SA,5573,Primary/Secondary,Government,Open,49446,7449
Maitland Christian School,METFORD,NSW,2323,Primary/Secondary,Non-Government,Open,44013,4091
Maitland East Public School,EAST MAITLAND,NSW,2323,Primary,Government,Open,41925,9192
Maitland Grossmann High School,EAST MAITLAND,NSW,2323,Secondary,Government,Open,42092,15124
Maitland High School,EAST MAITLAND,NSW,2323,Secondary,Government,Open,42091,9191
Maitland Lutheran School,MAITLAND,SA,5573,Primary/Secondary,Non-Government,Open,49872,269
Maitland Public School,MAITLAND,NSW,2320,Primary,Government,Open,42005,9157
Majella Primary School,BALGA,WA,6061,Primary,Non-Government,Open,48956,100
Majura Primary School,WATSON,ACT,2602,Primary,Government,Open,49922,14384
Malabar Public School,MALABAR,NSW,2036,Primary,Government,Open,41033,7568
Malak Primary School,ANULA,NT,812,Primary,Government,Open,50034,7984
Malanda State High School,MALANDA,QLD,4885,Secondary,Government,Open,47460,6556
Malanda State School,MALANDA,QLD,4885,Primary,Government,Open,47128,13173
Maldon Primary School,MALDON,VIC,3463,Primary,Government,Open,44237,10861
Malek Fahd Islamic School,GREENACRE,NSW,2190,Primary/Secondary,Non-Government,Open,43980,6748
Maleny State High School,MALENY,QLD,4552,Secondary,Government,Open,47555,22768
Maleny State School,MALENY,QLD,4552,Primary,Government,Open,47125,12316
Malibu School,SAFETY BAY,WA,6169,Primary/Secondary,Government,Open,48810,15233
Malkara School,GARRAN,ACT,2605,Primary,Government,Open,49932,15082
Mallacoota P-12 College,MALLACOOTA,VIC,3892,Primary/Secondary,Government,Open,44613,6299
Mallala Primary School,MALLALA,SA,5502,Primary,Government,Open,49223,7426
Mallawa Public School,MOREE,NSW,2400,Primary,Government,Open,42504,9499
Malmsbury Primary School,MALMSBURY,VIC,3446,Primary,Government,Open,44272,10809
Malvern Central School,MALVERN,VIC,3144,Primary/Secondary,Government,Open,44326,8512
Malvern Primary School,MALVERN EAST,VIC,3145,Primary,Government,Open,44483,6031
Malvern Springs Primary School,ELLENBROOK,WA,6069,Primary,Government,Open,50442,28902
Malvern Valley Primary School,MALVERN EAST,VIC,3145,Primary,Government,Open,44779,8893
Mamaruni School,ACACIA HILLS,NT,822,Primary/Secondary,Government,Open,50098,7955
Mamre Anglican School,ERSKINE PARK,NSW,2759,Primary/Secondary,Non-Government,Open,44019,2334
Manangatang P-12 College,MANANGATANG,VIC,3546,Primary/Secondary,Government,Open,45306,15927
Manchester Primary School,MOOROOLBARK,VIC,3138,Primary,Government,Open,44967,8486
Mandama Primary School,GROVEDALE,VIC,3216,Primary,Government,Open,45069,14883
Mandurah Baptist College,LAKELANDS,WA,6180,Primary/Secondary,Non-Government,Open,49137,18149
Mandurah Catholic College,MANDURAH,WA,6210,Primary/Secondary,Non-Government,Open,48999,13573
Mandurah Primary School,MANDURAH,WA,6210,Primary,Government,Open,48434,12427
Mandurama Public School,MANDURAMA,NSW,2792,Primary,Government,Open,43006,10968
Manea Senior College,BUNBURY,WA,6230,Secondary,Government,Open,40829,28230
Mango Hill State School,MANGO HILL,QLD,4509,Primary,Government,Open,50483,29460
Manifold Heights Primary School,MANIFOLD HEIGHTS,VIC,3218,Primary,Government,Open,44728,9568
Manifold Public School,BENTLEY,NSW,2480,Primary,Government,Open,42254,9822
Manildra Public School,MANILDRA,NSW,2865,Primary,Government,Open,43007,11088
Manilla Central School,MANILLA,NSW,2346,Primary/Secondary,Government,Open,42513,9370
Maningrida School,ACACIA HILLS,NT,822,Primary/Secondary,Government,Open,50061,7956
Manjimup Education Support Centre,MANJIMUP,WA,6258,Primary/Secondary,Government,Open,48803,15234
Manjimup Primary School,MANJIMUP,WA,6258,Primary,Government,Open,48435,12479
Manjimup Senior High School,MANJIMUP,WA,6258,Secondary,Government,Open,48139,12483
Manly State School,MANLY,QLD,4179,Primary,Government,Open,47068,11531
Manly Vale Public School,MANLY VALE,NSW,2093,Primary,Government,Open,41273,7696
Manly Village Public School,MANLY,NSW,2095,Primary,Government,Open,41265,4413
Manly West Public School,BALGOWLAH,NSW,2093,Primary,Government,Open,41224,7697
Manly West State School,MANLY WEST,QLD,4179,Primary,Government,Open,46592,11533
Mannering Park Public School,MANNERING PARK,NSW,2259,Primary,Government,Open,42033,8712
Manning District Adventist School,TAREE,NSW,2430,Primary,Non-Government,Open,43775,2331
Manning Gardens Public School,TAREE,NSW,2430,Primary,Government,Open,42351,16214
Manning Primary School,MANNING,WA,6152,Primary,Government,Open,48436,12334
Manning Valley Anglican College,CUNDLETOWN,NSW,2430,Primary/Secondary,Non-Government,Open,43830,17937
Mannum Community College,MANNUM,SA,5238,Primary/Secondary,Government,Open,49617,6101
Manoora Primary School,MANOORA,SA,5414,Primary,Government,Open,49225,7381
Manor Lakes P-12 College,WYNDHAM VALE,VIC,3024,Primary/Secondary,Government,Open,45580,27632
Manorvale Primary School,WERRIBEE,VIC,3030,Primary,Government,Open,45012,7654
Mansfield Autistic Centre,MANSFIELD,VIC,3722,Primary/Secondary,Non-Government,Open,40395,3082
Mansfield Primary School,MANSFIELD,VIC,3722,Primary,Government,Open,44203,11691
Mansfield Rudolf Steiner School,MANSFIELD,VIC,3722,Primary/Secondary,Non-Government,Open,46304,5559
Mansfield Secondary College,MANSFIELD,VIC,3722,Secondary,Government,Open,45419,11690
Mansfield State High School,MANSFIELD,QLD,4122,Secondary,Government,Open,47453,11289
Mansfield State School,MANSFIELD,QLD,4122,Primary,Government,Open,46506,11288
Manunda Terrace Primary School,ANULA,NT,812,Primary,Government,Open,50035,7985
Manyallaluk School,ACACIA HILLS,NT,822,Primary,Government,Open,50137,24013
Mapleton State School,MAPLETON,QLD,4560,Primary,Government,Open,46927,12330
Mapuru Christian School,MAPURU ARNHEM LAND,NT,880,Primary/Secondary,Non-Government,Open,40849,28912
Maramba Primary School,NARRE WARREN,VIC,3805,Primary,Government,Open,45147,14895
Maranatha Christian School,ENDEAVOUR HILLS,VIC,3802,Primary/Secondary,Non-Government,Open,46226,839
Marangaroo Primary School,MARANGAROO,WA,6064,Primary,Government,Open,48685,15235
Maraylya Public School,MARAYLYA,NSW,2765,Primary,Government,Open,41646,10783
Marayong Heights Public School,MARAYONG,NSW,2148,Primary,Government,Open,41716,7834
Marayong Public School,BLACKTOWN,NSW,2148,Primary,Government,Open,41705,7835
Marayong South Public School,BLACKTOWN,NSW,2148,Primary,Government,Open,41721,7836
Marble Bar Primary School,MARBLE BAR,WA,6760,Primary/Secondary,Government,Open,48437,12793
Marburg State School,MARBURG,QLD,4346,Primary,Government,Open,46633,11897
Marcellin College,RANDWICK,NSW,2031,Secondary,Non-Government,Open,43482,1422
Marcellin College,BULLEEN,VIC,3105,Secondary,Non-Government,Open,45874,15687
Marcellin Technical College,CHRISTIE DOWNS,SA,5164,Secondary,Non-Government,Open,40798,27319
Marden Senior College,MARDEN,SA,5070,Secondary,Government,Open,40422,6080
Mareeba State High School,MAREEBA,QLD,4880,Secondary,Government,Open,47452,6557
Mareeba State School,MAREEBA,QLD,4880,Primary,Government,Open,46833,5434
Margaret Jurd College,SHORTLAND,NSW,2307,Primary/Secondary,Non-Government,Open,43747,15906
Margaret River Independent School,FOREST GROVE,WA,6286,Primary,Non-Government,Open,49056,2769
Margaret River Montessori School,MARGARET RIVER,WA,6285,Primary,Non-Government,Open,49101,14322
